,id,popularity,original_title,cast,director,genres,production_companies,vote_count,vote_average,budget_adj,revenue_adj,lead_actor,main_director,main_genre,main_production_company,profit
32,254470,3.877764,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,Comedy|Music,Universal Pictures|Gold Circle Films|Brownstone Productions,1264,6.8,26679988.2608051,264505582.097543,Anna Kendrick,Elizabeth Banks,Comedy,Universal Pictures,237825593.8367379
33,296098,3.64821,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,Thriller|Drama,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638,7.1,36799983.8080071,149601569.335309,Tom Hanks,Steven Spielberg,Thriller,DreamWorks SKG,112801585.52730191
34,257445,3.644541,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,Adventure|Horror|Comedy,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,53359976.5216103,138157089.01088,Jack Black,Rob Letterman,Adventure,Columbia Pictures,84797112.4892697
35,264644,3.557846,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,Drama|Thriller,Element Pictures|No Trace Camping|A24|Duperele Films,1520,8.0,5519997.57120106,32569603.0293746,Brie Larson,Lenny Abrahamson,Drama,Element Pictures,27049605.45817354
36,339527,3.358321,Solace,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Afonso Poyart,Crime|Drama|Mystery,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,474,6.2,0.0,20566197.1908732,Abbie Cornish,Afonso Poyart,Crime,Eden Rock Media,20566197.1908732
37,105864,3.339135,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,160999929.160031,305371920.876354,Raymond Ochoa,Peter Sohn,Adventure,Walt Disney Pictures,144371991.716323
38,241554,3.23737,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,45999979.7600089,65836683.5118592,Liam Neeson,Jaume Collet-Serra,Action,Vertigo Entertainment,19836703.7518503
39,167073,3.227329,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,10119995.5472019,57110024.5915891,Saoirse Ronan,John Crowley,Drama,Wildgaze Films,46990029.0443872
40,277216,3.202719,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,25759988.6656049,185504110.098191,O'Shea Jackson Jr.,F. Gary Gray,Drama,New Line Cinema,159744121.4325861
41,274854,3.080505,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,82799963.568016,129164861.167461,Vin Diesel,Breck Eisner,Fantasy,Summit Entertainment,46364897.599445
42,321697,3.079522,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,27599987.8560053,31686509.2179359,Michael Fassbender,Danny Boyle,History,Universal Pictures,4086521.3619306013
43,203801,3.053421,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,68999969.6400133,99493456.5028791,Henry Cavill,Guy Ritchie,Comedy,Davis Entertainment,30493486.86286579
44,293863,3.025852,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,22999989.8800044,39219376.6634742,Blake Lively,Lee Toland Krieger,Fantasy,Lakeshore Entertainment,16219386.783469804
45,325348,3.023253,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,396,5.9,9199995.95200178,13187080.9976843,Sharlto Copley,Ilya Naishuller,Action,Bazelevs Production,3987085.0456825197
46,228161,2.976436,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,124199945.352024,339361177.121082,Jim Parsons,Tim Johnson,Fantasy,Twentieth Century Fox Film Corporation,215161231.769058
47,286565,2.968254,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,Drama|Mystery|Romance,Fox 2000 Pictures,1252,6.2,11039995.1424021,78671281.3846362,Nat Wolff,Jake Schreier,Drama,Fox 2000 Pictures,67631286.2422341
48,265208,2.93234,Wild Card,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Simon West,Thriller|Crime|Drama,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,27599987.8560053,0.0,Jason Statham,Simon West,Thriller,Current Entertainment,-27599987.8560053
49,254320,2.885126,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,3679998.38080071,8339346.45068756,Colin Farrell,Yorgos Lanthimos,Thriller,Haut et Court,4659348.06988685
50,258480,2.883233,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,Romance|Drama,Killer Films|Film4|Number 9 Films,562,7.1,10855995.2233621,37050347.8978469,Cate Blanchett,Todd Haynes,Romance,Killer Films,26194352.6744848
51,257211,2.814802,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,Comedy,Waverly Films|Warner Bros.,1255,7.1,32199985.8320062,178999419.480255,Robert De Niro,Nancy Meyers,Comedy,Waverly Films,146799433.6482488
52,253412,2.798017,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,50599977.7360098,187153294.93255,Jason Clarke,Baltasar KormÃ¡kur,Adventure,Universal Pictures,136553317.1965402
53,274479,2.793297,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,55199975.7120106,93043293.3409509,Jennifer Lawrence,David O. Russell,Comedy,Fox 2000 Pictures,37843317.62894031
54,257088,2.614499,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,505,5.5,96599957.4960187,123021159.990689,Edgar RamÃ­rez,Ericson Core,Action,Studio Babelsberg,26421202.4946703
55,295964,2.584264,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,631,6.3,18399991.9040035,33678188.7415969,Bradley Cooper,John Wells,Drama,Double Feature Films,15278196.837593399
56,238615,2.578919,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,719,6.2,23919989.4752046,28081355.5642035,Ryan Reynolds,Tarsem Singh,Science Fiction,Endgame Entertainment,4161366.0889989026
57,210860,2.575711,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,696,5.3,55199975.7120106,27985062.8865723,Johnny Depp,David Koepp,Comedy,Lionsgate,-27214912.8254383
58,306819,2.557859,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,867,7.3,13799993.9280026,59056175.1752829,Eddie Redmayne,Tom Hooper,Drama,Pretty Pictures,45256181.2472803
59,201088,2.550747,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,584,5.0,64399971.6640124,16332697.613613,Chris Hemsworth,Michael Mann,Mystery,Universal Pictures,-48067274.0503994
60,273481,2.487849,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,1479,7.1,27599987.8560053,77303716.7063646,Emily Blunt,Denis Villeneuve,Action,Lionsgate,49703728.850359306
61,166424,2.487042,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),1565,4.4,110399952.34402,154539320.322699,Miles Teller,Josh Trank,Action,Twentieth Century Fox Film Corporation,44139367.978679016
62,310131,2.46449,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,700,5.8,3219998.58320062,37190013.0363942,Anya Taylor-Joy,Robert Eggers,Mystery,Parts and Labor,33970014.45319358
63,238713,2.404473,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,1840,6.9,59799973.6880115,216812826.082356,Melissa McCarthy,Paul Feig,Action,Twentieth Century Fox Film Corporation,157012852.3943445
64,256591,2.395366,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,1831,6.7,46091979.7195289,141645863.63582,Will Smith,Glenn Ficarra,Romance,Kramer & Sigman Films,95553883.9162911
65,249070,2.354654,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,820,5.5,32199985.8320062,75759810.1856835,Rupert Friend,Aleksander Bach,Action,Twentieth Century Fox Film Corporation,43559824.3536773
66,205775,2.345821,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,805,6.4,91999959.5200178,86315059.3813738,Chris Hemsworth,Ron Howard,Thriller,Imagine Entertainment,-5684900.13864401
67,334074,2.331636,Survivor,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,James McTeigue,Crime|Thriller|Action,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,280,5.4,18399991.9040035,0.0,Pierce Brosnan,James McTeigue,Crime,Nu Image Films,-18399991.9040035
68,312221,2.331567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,1171,7.3,32199985.8320062,126900665.803707,Michael B. Jordan,Ryan Coogler,Drama,New Line Cinema,94700679.9717008
69,271718,2.31767,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,849,6.1,32199985.8320062,129532072.565888,Amy Schumer,Judd Apatow,Comedy,Universal Pictures,97332086.7338818
70,333352,2.29573,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,265,7.2,11959994.7376023,30220316.9030605,Helen Mirren,Gavin Hood,Drama,Entertainment One,18260322.165458202
71,276907,2.28135,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),619,6.7,22999989.8800044,39535137.0845396,Tom Hardy,Brian Helgeland,Crime,Working Title Films,16535147.204535201
72,284289,2.272044,Beyond the Reach,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Jean-Baptiste LÃ©onetti,Thriller,Furthur Films,81,5.5,0.0,42223.3814217121,Michael Douglas,Jean-Baptiste LÃ©onetti,Thriller,Furthur Films,42223.3814217121
73,266647,2.234573,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,586,5.9,137999939.280026,118117202.42843,Levi Miller,Joe Wright,Adventure,Warner Bros.,-19882736.851595983
74,347096,2.165433,Mythica: The Darkspore,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Anne K. Black,Action|Adventure|Fantasy,Arrowstorm Entertainment,27,5.1,0.0,0.0,Melanie Stone,Anne K. Black,Action,Arrowstorm Entertainment,0.0
75,308369,2.141506,Me and Earl and the Dying Girl,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Alfonso Gomez-Rejon,Comedy|Drama,Indian Paintbrush,569,7.7,0.0,0.0,Thomas Mann,Alfonso Gomez-Rejon,Comedy,Indian Paintbrush,0.0
76,227973,2.140199,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,414,6.4,91079959.9248176,226534364.284879,Noah Schnapp,Steve Martino,Adventure,Blue Sky Studios,135454404.3600614
77,321741,2.121884,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,500,6.9,32199985.8320062,44733666.5571867,Will Smith,Peter Landesman,Drama,Village Roadshow Pictures,12533680.7251805
